Intervalo;Grupo;Login Id;Agente;LogIn;Internas Entrantes No Atendidas;Internas Entrantes Atendidas;Internas Salientes No Atendidas;Internas Salientes Atendidas;Entrantes No Atendidas;Entrantes Atendidas;Salientes No Atendidas;Salientes Atendidas;Discador No Atendidas;Discador Atendidas;Transfer In;Transfer Out;Unstaffed;Avail;Preview;Dial;Ring;Connect;Hold;ACW;Not Ready;Break;Lunch;Coaching;Administrativo;Baño;Llamada_Manual;Tipo de Break 6;Tipo de Break 7;Tipo de Break 8;Tipo de Break 9;Auxiliar Total;Auxiliar %;Tiempo Real de Logueo;Utilización;Connect % Real;Ring % Real;Avail % Real;AHT;ATT;Avail Count;Hold Count;Not Ready Count;Avail Max;Hold Max;Not Ready Max;Talking Time Internas Entrantes;Talking Time Internas Salientes;Tipificación Otro;Tipificación Exitoso;Tipificación No Exitoso;Tipificación No Efectivo;Tipificación Neutro;CE;%CE;Exitos / CE;Exitos por Hora Real;idAgente;idGrupo
19/1/2026 09:30:00;Mendoza1;mza29;MZA 29;605;"0";"0";"0";"0";"0";"0";"0";3;"0";"0";"0";"0";1166;43;"0";"0";"0";64;"0";193;4;"0";"0";"0";237;"0";64;"0";"0";"0";"0";301;"0,49797578206168";300;"0,857746675903968";"0,212592261984066";"0,00148551786618348";"0,1420967784913";86;21,3333333333333;4;"0";1;39;"0";4;"0";"0";"0";"0";3;"0";"0";3;1;"0";"0";2577;57
19/1/2026 09:30:00;Mendoza1;mza49;MZA 49;173;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";173;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";3209;57
19/1/2026 09:30:00;Mendoza1;mza65;MZA 65;602;"0";"0";"0";"0";"0";"0";"0";1;"0";"0";"0";"0";"0";"0";"0";"0";"0";594;"0";"0";3;"0";"0";"0";"0";"0";5;"0";"0";"0";"0";5;"0,00771802934313654";594;1;"0,999735846326497";"0,000264153673502695";"0";594;594;"0";"0";1;"0";"0";3;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";3429;57
19/1/2026 09:30:00;Mendoza1;mza66;MZA 66;8;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";"0";"0";"0";"0";7;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";"0";1;"0";"0";"0";"0";1;"0";"0";7;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";3430;57
19/1/2026 09:30:00;Mendoza1;mza67;MZA 67;7;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";7;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";3431;57
19/1/2026 09:30:00;Mendoza1;mza71;MZA 71;70;"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";"0";22;"0";"0";"0";14;"0";1;32;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";38;"0,407396622015143";"0,368878064277016";"0,00330915444485625";"0,588473553237677";16;14;1;"0";1;22;"0";32;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";3435;57
19/1/2026 09:30:00;Mendoza1;mza313;MZA 313;290;"0";"0";"0";"0";"0";"0";"0";5;"0";"0";"0";"0";503;10;"0";"0";1;2;"0";80;6;"0";"0";"0";"0";"0";191;"0";"0";"0";"0";191;"0,659200732931277";93;"0,896638502479091";"0,0238164080487465";"0,0133860207108512";"0,102847474325612";16,8;"0,4";5;"0";1;2;"0";6;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";4051;57
19/1/2026 10:00:00;Mendoza1;mza1;MZA 1;1503;"0";"0";"0";"0";"0";"0";"0";7;"0";8;"0";"0";86;250;"0";1;2;344;"0";211;68;"0";"0";531;2;"0";92;"0";"0";"0";"0";625;"0,416033030469757";809;"0,688994168826017";"0,42511470199723";"0,00255785762742023";"0,309513129717981";37,2666666666667;22,9333333333333;14;"0";3;40;"0";45;"0";"0";"0";2;6;"0";"0";8;1;"0,25";8,89987639060569;2212;57
19/1/2026 10:00:00;Mendoza1;mza2;MZA 2;1212;"0";"0";"0";"0";"0";"0";"0";"0";"0";7;"0";"0";"0";231;"0";1;1;316;"0";190;9;"0";"0";448;"0";"0";17;"0";"0";"0";"0";465;"0,383395733263811";739;"0,685854234415235";"0,427657391035934";"0,00100049009122195";"0,312904291412031";72,5714285714286;45,1428571428571;9;"0";1;44;"0";9;"0";"0";"0";1;5;"0";"0";6;1;"0,166666666666667";4,87144790257104;2213;57
19/1/2026 10:00:00;Mendoza1;mza3;MZA 3;1067;"0";"0";"0";"0";"0";"0";"0";"0";"0";8;"0";"0";"0";232;"0";1;1;384;"0";119;5;"0";"0";325;"0";"0";"0";"0";"0";"0";"0";325;"0,304856696703902";737;"0,683759176085865";"0,520816315453818";"0,00115201432894148";"0,314885273484674";63,125;48;8;"0";1;46;"0";5;"0";"0";"0";7;"0";"0";"0";7;1;1;34,1926729986431;2214;57
