archivo,id_interaccion,agente,duracion_seg,duracion_min,rango_duracion,fecha,es_dia_promo,motivo_principal,motivos_detectados,tiene_saludo,tiene_identificacion,tiene_cierre_correcto,despedida_abrupta,score_calidad,planes_ofrecidos,cantidad_planes,primer_plan,ofrece_fibra,ofrece_equipo,menciona_promo,objeciones,cantidad_objeciones,manejo_objeciones,competencia,sentimiento,tiene_queja,queja_resuelta,resultado,es_venta,es_continuacion,es_rechazo,hay_transferencia,hay_escalacion,es_retencion,cross_sell,turnos_agente,turnos_cliente,total_turnos
amza10_1_260112105813064_ACD_11829_transcripcion.json,260112105813064_ACD_11829,MZA 10,150,2.5,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,4gb,1,4gb,False,False,False,,0,,claro,positivo,False,False,continuacion,False,True,False,False,False,False,,5,9,14
amza10_1_260112112314238_ACD_07481_transcripcion.json,260112112314238_ACD_07481,MZA 10,88,1.5,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,0,3,3
amza10_1_260112112840086_ACD_26699_transcripcion.json,260112112840086_ACD_26699,MZA 10,123,2.0,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,3,7,10
amza10_1_260112114049754_ACD_71329_transcripcion.json,260112114049754_ACD_71329,MZA 10,131,2.2,1-3 min,12/01,False,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,3,7,10
amza10_1_260112115127682_ACD_09577_transcripcion.json,260112115127682_ACD_09577,MZA 10,92,1.5,1-3 min,12/01,False,no_identificado,,True,False,False,False,50,8gb,1,8gb,False,False,False,"precio_alto, consultar",2,,claro,positivo,True,False,queja_no_resuelta,False,False,False,True,False,False,,3,5,8
amza10_1_260112115607268_ACD_24495_transcripcion.json,260112115607268_ACD_24495,MZA 10,271,4.5,3-5 min,12/01,False,problema_servicio,problema_servicio,True,False,False,True,25,,0,,True,False,False,,0,empatia,claro,positivo,False,False,continuacion,False,True,False,False,False,False,,15,9,24
amza10_1_260112120909164_ACD_59101_transcripcion.json,260112120909164_ACD_59101,MZA 10,170,2.8,1-3 min,12/01,False,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,7,8,15
amza10_1_260112121421799_ACD_76031_transcripcion.json,260112121421799_ACD_76031,MZA 10,349,5.8,5-8 min,12/01,False,no_identificado,,False,False,True,False,50,4gb,1,4gb,True,False,True,,0,,"claro, otra_empresa",positivo,False,False,continuacion,False,True,False,False,False,False,,14,14,28
amza10_1_260112125120917_ACD_33367_transcripcion.json,260112125120917_ACD_33367,MZA 10,61,1.0,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,3,6,9
amza10_1_260112130112049_ACD_65005_transcripcion.json,260112130112049_ACD_65005,MZA 10,122,2.0,1-3 min,12/01,False,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,4,9,13
