agente,total,ventas,pct_ventas,con_plan,pct_plan,con_fibra,pct_fibra,con_promo,pct_promo,con_queja,queja_resuelta,pct_queja_resuelta,rechazos,continuaciones,score_calidad_prom
MZA 42,91,4,4.4,14,15.4,9,9.9,65,71.4,3,0,0.0,17,9,48.4
MZA 35,84,8,9.5,26,31.0,11,13.1,40,47.6,4,0,0.0,15,10,33.6
MZA 9,84,0,0.0,20,23.8,7,8.3,62,73.8,5,0,0.0,16,11,46.1
MZA 1,82,3,3.7,31,37.8,17,20.7,50,61.0,3,0,0.0,18,29,39.6
MZA 4,78,1,1.3,23,29.5,13,16.7,22,28.2,1,0,0.0,3,5,44.2
MZA 24,73,0,0.0,46,63.0,3,4.1,20,27.4,2,0,0.0,13,8,35.6
MZA 73,72,1,1.4,18,25.0,6,8.3,31,43.1,3,0,0.0,4,11,51.4
MZA 10,71,1,1.4,10,14.1,10,14.1,11,15.5,5,0,0.0,11,11,32.4
MZA 39,70,4,5.7,11,15.7,4,5.7,58,82.9,3,0,0.0,10,8,53.2
MZA 44,69,5,7.2,30,43.5,2,2.9,29,42.0,5,0,0.0,11,8,51.1
desconocido,67,11,16.4,23,34.3,10,14.9,31,46.3,0,0,0,11,25,37.7
MZA 32,65,1,1.5,13,20.0,5,7.7,19,29.2,4,0,0.0,10,10,47.3
MZA 13,60,6,10.0,13,21.7,14,23.3,39,65.0,4,0,0.0,17,9,41.2
MZA 23,59,3,5.1,25,42.4,9,15.3,28,47.5,3,0,0.0,10,6,35.2
MZA 3,59,3,5.1,16,27.1,9,15.3,40,67.8,6,0,0.0,9,22,47.5
MZA 20,57,2,3.5,18,31.6,4,7.0,13,22.8,6,0,0.0,8,15,29.8
MZA 22,56,1,1.8,21,37.5,20,35.7,31,55.4,3,0,0.0,11,3,51.3
MZA 30,54,1,1.9,10,18.5,7,13.0,30,55.6,3,0,0.0,14,7,39.8
MZA 40,50,1,2.0,8,16.0,5,10.0,21,42.0,4,0,0.0,6,5,38.0
MZA 8,50,7,14.0,12,24.0,1,2.0,11,22.0,0,0,0,6,5,47.5
MZA 2,49,5,10.2,12,24.5,3,6.1,36,73.5,1,0,0.0,6,1,50.5
MZA 313,47,1,2.1,10,21.3,2,4.3,19,40.4,3,0,0.0,7,19,49.5
MZA 43,46,6,13.0,13,28.3,11,23.9,25,54.3,5,0,0.0,12,8,32.6
MZA 6,46,9,19.6,10,21.7,5,10.9,34,73.9,3,0,0.0,10,13,45.7
MZA 36,43,6,14.0,22,51.2,6,14.0,22,51.2,3,1,33.3,8,11,51.2
MZA 72,43,0,0.0,11,25.6,2,4.7,13,30.2,0,0,0,7,7,29.1
MZA 314,42,2,4.8,18,42.9,7,16.7,22,52.4,2,0,0.0,8,6,32.1
MZA 15,39,1,2.6,13,33.3,2,5.1,15,38.5,0,0,0,6,0,28.8
MZA 33,39,0,0.0,8,20.5,9,23.1,32,82.1,4,0,0.0,7,7,39.1
MZA 27,38,2,5.3,6,15.8,5,13.2,14,36.8,1,0,0.0,3,3,34.2
MZA 74,38,2,5.3,3,7.9,3,7.9,7,18.4,2,0,0.0,8,3,33.6
MZA 19,37,0,0.0,18,48.6,5,13.5,30,81.1,2,0,0.0,5,12,48.6
MZA 29,37,1,2.7,10,27.0,2,5.4,16,43.2,4,0,0.0,8,11,45.9
MZA 5,35,1,2.9,15,42.9,3,8.6,11,31.4,2,0,0.0,4,7,32.9
MZA 14,32,2,6.2,11,34.4,7,21.9,21,65.6,1,0,0.0,2,9,57.8
MZA 45,32,0,0.0,9,28.1,1,3.1,28,87.5,1,0,0.0,4,6,46.9
MZA 26,29,2,6.9,3,10.3,3,10.3,8,27.6,2,0,0.0,3,7,48.3
MZA 28,29,2,6.9,10,34.5,4,13.8,16,55.2,0,0,0,3,9,39.7
MZA 31,29,2,6.9,7,24.1,5,17.2,16,55.2,2,0,0.0,5,7,34.5
MZA 41,25,0,0.0,3,12.0,5,20.0,21,84.0,3,0,0.0,5,5,36.0
MZA 18,24,0,0.0,4,16.7,3,12.5,3,12.5,0,0,0,8,1,37.5
MZA 21,23,2,8.7,10,43.5,6,26.1,11,47.8,0,0,0,0,7,43.5
MZA 16,18,1,5.6,7,38.9,2,11.1,3,16.7,0,0,0,2,5,40.3
MZA 34,15,0,0.0,1,6.7,1,6.7,12,80.0,2,0,0.0,1,2,38.3
MZA 25,8,2,25.0,2,25.0,0,0.0,1,12.5,0,0,0,0,2,50.0
