agente,equipo,total_llamadas,total_ventas,total_rechazos,puntaje_promedio,promedio_saludo_presentacion,promedio_identificacion_cliente,promedio_deteccion_necesidades,promedio_oferta_productos,promedio_manejo_objeciones,promedio_cierre,promedio_despedida,promedio_proactividad,promedio_empatia,promedio_resolucion_problemas,total_fibra_ofrecida,porcentaje_fibra,nivel_desempeno,fortaleza_1,fortaleza_1_puntaje,fortaleza_2,fortaleza_2_puntaje,debilidad_1,debilidad_1_puntaje,debilidad_2,debilidad_2_puntaje,ranking
MZA 52,MZA,12,9,2,61.833333333333336,25.0,75.0,29.166666666666668,87.5,75.0,70.83333333333333,75.0,33.333333333333336,76.66666666666667,50.0,5,41.66666666666667,BUENO,oferta_productos,87.5,empatia,76.66666666666667,saludo_presentacion,25.0,deteccion_necesidades,29.166666666666668,1
MZA 16,MZA,19,12,0,59.0,53.68421052631579,94.73684210526316,51.578947368421055,74.73684210526316,59.473684210526315,51.578947368421055,87.36842105263158,32.63157894736842,66.84210526315789,45.78947368421053,6,31.57894736842105,REGULAR,identificacion_cliente,94.73684210526316,despedida,87.36842105263158,proactividad,32.63157894736842,resolucion_problemas,45.78947368421053,2
MZA 22,MZA,35,14,6,58.885714285714286,42.57142857142857,52.0,43.142857142857146,56.857142857142854,50.285714285714285,26.571428571428573,67.14285714285714,28.0,61.714285714285715,34.57142857142857,12,34.285714285714285,REGULAR,despedida,67.14285714285714,empatia,61.714285714285715,cierre,26.571428571428573,proactividad,28.0,3
MZA 7,MZA,31,8,15,57.645161290322584,25.806451612903224,19.35483870967742,17.096774193548388,30.0,26.774193548387096,23.870967741935484,41.29032258064516,12.258064516129032,38.38709677419355,35.16129032258065,2,6.451612903225806,REGULAR,despedida,41.29032258064516,empatia,38.38709677419355,proactividad,12.258064516129032,deteccion_necesidades,17.096774193548388,4
MZA 78,MZA,41,7,9,56.24390243902439,17.5609756097561,75.60975609756098,16.585365853658537,55.853658536585364,35.1219512195122,20.48780487804878,65.36585365853658,10.975609756097562,34.8780487804878,21.951219512195124,7,17.073170731707318,REGULAR,identificacion_cliente,75.60975609756098,despedida,65.36585365853658,proactividad,10.975609756097562,deteccion_necesidades,16.585365853658537,5
MZA 10,MZA,7,4,1,52.857142857142854,42.857142857142854,57.142857142857146,32.857142857142854,52.857142857142854,55.714285714285715,40.0,71.42857142857143,21.428571428571427,68.57142857142857,64.28571428571429,1,14.285714285714285,REGULAR,despedida,71.42857142857143,empatia,68.57142857142857,proactividad,21.428571428571427,deteccion_necesidades,32.857142857142854,6
MZA 30,MZA,84,27,13,50.54761904761905,23.214285714285715,67.97619047619048,32.976190476190474,43.214285714285715,48.80952380952381,19.642857142857142,77.5,10.595238095238095,64.16666666666667,38.69047619047619,11,13.095238095238097,REGULAR,despedida,77.5,identificacion_cliente,67.97619047619048,proactividad,10.595238095238095,cierre,19.642857142857142,7
MZA 24,MZA,53,21,10,47.0377358490566,34.528301886792455,75.66037735849056,23.962264150943398,60.943396226415096,47.16981132075472,46.22641509433962,80.75471698113208,15.660377358490566,51.698113207547166,40.75471698113208,4,7.547169811320755,REGULAR,despedida,80.75471698113208,identificacion_cliente,75.66037735849056,proactividad,15.660377358490566,deteccion_necesidades,23.962264150943398,8
MZA 73,MZA,66,13,16,45.40909090909091,21.21212121212121,48.484848484848484,22.727272727272727,20.0,35.45454545454545,12.878787878787879,68.18181818181819,5.0,64.0909090909091,38.63636363636363,1,1.5151515151515151,REGULAR,despedida,68.18181818181819,empatia,64.0909090909091,proactividad,5.0,cierre,12.878787878787879,9
MZA 91,MZA,79,17,22,44.65822784810127,23.164556962025316,59.74683544303797,20.0,36.58227848101266,34.55696202531646,31.0126582278481,65.82278481012658,8.60759493670886,41.64556962025316,25.696202531645568,6,7.59493670886076,REGULAR,despedida,65.82278481012658,identificacion_cliente,59.74683544303797,proactividad,8.60759493670886,deteccion_necesidades,20.0,10
MZA 62,MZA,19,8,4,43.21052631578947,57.89473684210526,68.42105263157895,25.789473684210527,56.31578947368421,43.1578947368421,38.421052631578945,63.1578947368421,18.42105263157895,48.94736842105263,22.63157894736842,1,5.263157894736842,REGULAR,identificacion_cliente,68.42105263157895,despedida,63.1578947368421,proactividad,18.42105263157895,resolucion_problemas,22.63157894736842,11
MZA 23,MZA,81,20,30,43.135802469135804,20.123456790123456,48.76543209876543,26.790123456790123,44.074074074074076,31.728395061728396,18.02469135802469,53.45679012345679,15.061728395061728,35.55555555555556,17.40740740740741,10,12.345679012345679,REGULAR,despedida,53.45679012345679,identificacion_cliente,48.76543209876543,proactividad,15.061728395061728,resolucion_problemas,17.40740740740741,12
MZA 19,MZA,30,8,5,43.13333333333333,34.0,60.0,16.333333333333332,51.333333333333336,42.0,37.666666666666664,81.66666666666667,5.0,61.0,26.666666666666668,4,13.333333333333334,REGULAR,despedida,81.66666666666667,empatia,61.0,proactividad,5.0,deteccion_necesidades,16.333333333333332,13
Mza 51,Mza,70,14,24,43.01428571428571,26.714285714285715,62.57142857142857,14.714285714285714,41.57142857142857,31.857142857142858,23.428571428571427,55.142857142857146,11.142857142857142,33.857142857142854,15.714285714285714,3,4.285714285714286,REGULAR,identificacion_cliente,62.57142857142857,despedida,55.142857142857146,proactividad,11.142857142857142,deteccion_necesidades,14.714285714285714,14
MZA 90,MZA,138,38,18,42.76086956521739,43.91304347826087,76.30434782608695,18.47826086956522,55.36231884057971,35.72463768115942,16.594202898550726,79.20289855072464,6.956521739130435,55.79710144927536,19.782608695652176,7,5.072463768115942,REGULAR,despedida,79.20289855072464,identificacion_cliente,76.30434782608695,proactividad,6.956521739130435,cierre,16.594202898550726,15
