archivo,agente,saludo_presentacion,identificacion_cliente,deteccion_necesidades,oferta_productos,manejo_objeciones,cierre,despedida,proactividad,empatia,resolucion_problemas,puntaje_total,primer_plan_ofrecido,se_ofrecio_fibra,planes_mencionados,resumen,areas_mejora,fortalezas,fecha_evaluacion
amza10_1_260309110119975_ACD_07065_mejorado.json,amza10,0,100,100,100,100,100,100,0,100,0,70.0,8GB + 8GB extra,False,8GB + 8GB extra,"El agente se identificó parcialmente y realizó preguntas para detectar necesidades. Ofreció un plan, manejó la objeción del cliente y se despidió correctamente.  No ofreció fibra.  El cierre quedó pendiente.","Mejorar la presentación inicial con la frase correcta., Ofrecer fibra o productos adicionales de forma proactiva.","Verificación de la identidad del cliente., Detección de necesidades., Manejo de objeciones.",2026-03-15T22:39:11.304244
amza10_1_260309110556324_ACD_20985_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"El agente no cumple con los criterios de evaluación. No se presenta correctamente, no identifica necesidades, no ofrece productos de manera adecuada, no maneja objeciones ni intenta cerrar la venta.","Presentación y Saludo, Identificación del Cliente, Detección de Necesidades, Oferta de Productos, Manejo de Objeciones, Cierre de Ventas, Despedida",,2026-03-15T22:40:31.574656
amza10_1_260309110931993_ACD_31425_mejorado.json,amza10,0,0,0,50,80,20,80,0,80,80,46.0,16 gigas,False,16 gigas,"El agente no se presenta correctamente ni identifica al cliente. Ofrece un plan y maneja las objeciones del cliente, pero no cierra la venta.  Muestra empatía y aborda los problemas del cliente.","Presentación, Identificación del cliente, Cierre","Manejo de objeciones, Empatía, Resolución de problemas",2026-03-15T22:40:37.668835
amza10_1_260309112513371_ACD_82797_mejorado.json,amza10,0,100,0,0,0,0,0,0,0,100,20.0,,False,,"El agente no cumple con los criterios de evaluación. No se presenta correctamente, no detecta necesidades, no ofrece productos, no maneja objeciones ni completa el cierre. Muestra una leve intención de resolver el problema del cliente.","Presentación y Saludo, Detección de Necesidades, Oferta de Productos, Manejo de Objeciones, Cierre de Ventas","Identificación del Cliente, Intento de resolver problemas",2026-03-15T22:40:43.465306
amza10_1_260309114350758_ACD_38467_mejorado.json,amza10,0,0,0,0,0,0,0,0,100,0,10.0,,False,,"El agente no cumple con los criterios de evaluación. No se presenta correctamente, no identifica al cliente, no detecta necesidades, no ofrece productos, no maneja objeciones y no cierra la venta.  Muestra empatía pero no resuelve problemas ni es proactivo.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Manejo de objeciones, Cierre de venta, Proactividad",Empatía,2026-03-15T22:40:49.452448
amza10_1_260309120435830_MIT_01971_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"La llamada es de consulta, no se ofrecen productos ni se realiza ninguna venta. El agente no sigue las reglas de negocio.","Presentación y oferta de productos, Identificación del cliente, Detección de necesidades, Cierre de venta",,2026-03-15T22:40:54.581105
amza10_1_260309124722461_ACD_44535_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"La llamada no cumple con los criterios de evaluación. No se presenta, no identifica al cliente, no detecta necesidades, no ofrece productos, no maneja objeciones ni completa el cierre.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Manejo de objeciones, Cierre, Proactividad",,2026-03-15T22:41:00.361762
amza10_1_260309125516226_ACD_65983_mejorado.json,amza10,0,0,0,0,0,0,0,0,100,0,10.0,,False,,"El agente no cumple con los requisitos mínimos de presentación, identificación, detección de necesidades, oferta de productos y cierre. No muestra proactividad ni maneja objeciones. Demuestra empatía en un contexto de queja del cliente.","Presentación y Saludo, Identificación del Cliente, Detección de Necesidades, Oferta de Productos (incluyendo fibra), Manejo de Objeciones, Cierre de Venta, Proactividad",Empatía,2026-03-15T22:41:06.183481
amza10_1_260309130008528_ACD_82667_mejorado.json,amza10,0,100,0,0,0,0,100,0,0,0,20.0,16 llegajas (8 base y 8 raro),False,16 llegajas (8 base y 8 raro),"El agente necesita mejorar la presentación, la detección de necesidades, la oferta de productos y el cierre. No muestra proactividad ni empatía. Se identifica correctamente y se despide de forma correcta. No se ofrecen productos adicionales ni fibra.","Presentación, Detección de necesidades, Oferta de productos, Cierre, Proactividad, Empatía","Identificación del cliente, Despedida",2026-03-15T22:41:12.382446
amza10_1_260309130526806_ACD_00643_mejorado.json,amza10,0,100,0,100,0,0,0,0,0,0,20.0,16 gigas,False,16 gigas,"El agente se identifica correctamente y ofrece un plan, pero no detecta necesidades, no maneja objeciones ni completa el cierre. No muestra proactividad ni empatía.","Detección de necesidades, Manejo de objeciones, Cierre, Proactividad, Empatía","Identificación correcta del cliente, Ofrecimiento directo de un plan",2026-03-15T22:41:18.208472
amza10_1_260309130712307_ACD_06343_mejorado.json,amza10,0,0,0,0,50,0,0,0,50,0,10.0,,False,,"El agente no cumple con los criterios de evaluación. No se presenta, no verifica identidad, no detecta necesidades, no ofrece productos, no maneja objeciones de manera efectiva y no cierra la venta. La empatía es limitada. El puntaje es muy bajo.","Presentación y Saludo, Identificación del Cliente, Detección de Necesidades, Oferta de Productos, Manejo de Objeciones, Cierre de Ventas",,2026-03-15T22:41:23.850401
amza10_1_260309131319817_ACD_24565_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"Llamada deficiente. El agente no se presenta, no identifica al cliente, no detecta necesidades, no ofrece productos, no maneja objeciones ni intenta cerrar la venta. No muestra empatía.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Manejo de objeciones, Cierre de ventas, Proactividad",,2026-03-15T22:41:29.394874
amza10_1_260309131912931_ACD_42701_mejorado.json,amza10,0,0,0,0,20,0,0,0,0,0,2.0,16 gigas en total,False,16 gigas en total,"La llamada carece de presentación adecuada, identificación del cliente y detección de necesidades. El manejo de objeciones es débil y no se completa el cierre ni muestra empatía. No hay proactividad en la oferta de productos.","Presentación y Saludo, Identificación del Cliente, Detección de Necesidades, Manejo de Objeciones, Cierre de Venta, Proactividad, Empatía",,2026-03-15T22:41:35.190957
amza10_1_260309135527456_ACD_54411_mejorado.json,amza10,0,100,0,100,0,0,100,0,0,0,30.0,16 gigas,False,16 gigas,"El agente se identifica y ofrece un plan, pero no detecta necesidades ni realiza un cierre. No se ofrece fibra ni otros productos adicionales.","Detección de necesidades, Cierre, Proactividad",Identificación del cliente,2026-03-15T22:41:40.616025
amza10_1_260309140456966_ACD_81887_mejorado.json,amza10,0,100,0,100,100,100,100,0,100,100,70.0,Plan de 16 GB,False,Plan de 16 GB,"El agente se identifica y ofrece un plan, aunque no presenta la empresa. Maneja bien las objeciones y ofrece seguimiento para el cierre. No ofrece fibra.","Presentación: Debe incluir la empresa y el motivo de la llamada., Proactividad: Ofrecer productos adicionales (fibra, etc.)","Identificación correcta del cliente., Ofrecimiento directo de productos., Buen manejo de objeciones y empatía., Gestión de la situación del cliente y ofrecimiento de ayuda.",2026-03-15T22:41:46.653824
amza10_1_260309140833844_ACD_92437_mejorado.json,amza10,0,0,0,60,0,0,0,60,20,0,24.0,16 gigas,True,16 gigas,"El agente no cumple con los criterios de presentación, identificación, detección de necesidades, manejo de objeciones y cierre.  Ofrece productos de forma directa, incluyendo fibra, pero no logra concretar la venta.","Presentación, Identificación del cliente, Detección de necesidades, Manejo de objeciones, Cierre, Empatía",Ofrecimiento directo de productos,2026-03-15T22:41:52.987905
amza10_1_260309141743500_ACD_18223_mejorado.json,amza10,0,100,20,100,80,0,100,100,80,0,56.0,8 gigas,True,"8 gigas, fibra de 300 megas","El agente necesita mejorar la presentación inicial, la detección de necesidades y el cierre de ventas.  Es proactivo al ofrecer productos y muestra empatía. El manejo de objeciones es adecuado.","Saludo y presentación, Detección de necesidades, Cierre de venta","Identificación del cliente, Oferta directa de productos (fibra y combos), Manejo de objeciones, Empatía, Proactividad, Despedida",2026-03-15T22:42:00.058820
amza10_1_260309143348778_ACD_58183_mejorado.json,amza10,0,10,0,10,0,10,0,0,10,0,40.0,,True,,"La llamada tiene fallas en la presentación, detección de necesidades y cierre. Intenta ofrecer fibra.","Mejorar la presentación y saludo., Realizar preguntas para detectar necesidades., Cerrar la venta de manera efectiva.","Verificación del nombre del cliente., Menciona oferta de descuento.",2026-03-15T22:42:05.926642
amza10_1_260309144605039_ACD_91063_mejorado.json,amza10,0,100,0,0,0,0,100,0,0,0,20.0,plan de 16 horas,False,plan de 16 horas,"El agente no cumple con los criterios de evaluación. No hay presentación adecuada, no hay detección de necesidades, no hay cierre, y no hay proactividad en la oferta de productos. La identificación del cliente es correcta y se despide bien. El agente ofrece un plan.","Presentación, Detección de necesidades, Oferta de productos, Cierre, Proactividad","Identificación del cliente, Despedida",2026-03-15T22:42:11.608185
amza10_1_260309144932172_ACD_01537_mejorado.json,amza10,0,100,0,50,70,30,100,30,50,70,49.0,11.060,True,,"El agente no se presenta correctamente ni detecta necesidades. Ofrece fibra y línea móvil, pero el cierre no se completa. Maneja objeciones y muestra empatía. La despedida es correcta.","Presentación, Detección de necesidades, Cierre","Identificación del cliente, Despedida",2026-03-15T22:42:17.900598
amza10_1_260309145715011_ACD_22943_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"Llamada fallida. El agente no se presenta correctamente, no identifica al cliente, ni ofrece productos o servicios. No intenta el cierre de venta.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Cierre de venta",,2026-03-15T22:42:23.175489
amza10_1_260309150021418_ACD_29727_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"Llamada muy deficiente. El agente no se presenta correctamente, no identifica al cliente ni detecta sus necesidades. No ofrece productos de manera adecuada y no realiza un cierre efectivo. La comunicación es poco profesional y no muestra empatía.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Cierre, Despedida",,2026-03-15T22:42:28.657428
amza10_1_260309181523583_ACD_95947_mejorado.json,amza10,0,0,0,0,0,0,0,0,100,20,12.0,,False,,"El agente no cumple con los criterios de evaluación. No se presenta correctamente, no identifica al cliente, no detecta necesidades, no ofrece productos y no cierra la venta.  Muestra algo de empatía pero no resuelve el problema del cliente.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Cierre de ventas, Resolución de problemas.",Muestra empatía.,2026-03-15T22:42:34.895475
amza10_1_260309183009402_MIT_01971_mejorado.json,amza10,0,100,0,100,70,50,70,100,70,0,55.0,4 GB,True,4 GB,"El agente necesita mejorar la presentación y el manejo de objeciones. El cierre no se completa, y no realiza preguntas de detección de necesidades. Se destaca la oferta directa de productos.","Saludo y presentación, Detección de necesidades, Manejo de objeciones, Cierre de ventas","Oferta directa de productos, Identificación correcta del cliente",2026-03-15T22:42:40.906607
amza10_1_260310102200315_ACD_95451_mejorado.json,amza10,0,0,0,0,0,0,0,0,0,0,0.0,,False,,"Llamada fallida. El agente no se presenta, no identifica al cliente, no detecta necesidades, no ofrece productos, no maneja objeciones y no intenta cerrar la venta. No se muestra empatía.","Presentación, Identificación del cliente, Detección de necesidades, Oferta de productos, Manejo de objeciones, Cierre de venta, Empatía",,2026-03-15T22:42:46.247013
