archivo,id_interaccion,agente,fecha,duracion_seg,primer_plan,planes_ofrecidos,cantidad_planes,ofrece_fibra
amza10_1_260309110119975_ACD_07065_mejorado.json,amza10_1_260309110119975_ACD_07065_mejorado.json,amza10,09/03,89.57,8gb,8gb,1,False
amza10_1_260309110556324_ACD_20985_mejorado.json,amza10_1_260309110556324_ACD_20985_mejorado.json,amza10,09/03,93.78,,,0,False
amza10_1_260309110931993_ACD_31425_mejorado.json,amza10_1_260309110931993_ACD_31425_mejorado.json,amza10,09/03,336.2,,,0,False
amza10_1_260309112513371_ACD_82797_mejorado.json,amza10_1_260309112513371_ACD_82797_mejorado.json,amza10,09/03,208.49,,,0,False
amza10_1_260309114350758_ACD_38467_mejorado.json,amza10_1_260309114350758_ACD_38467_mejorado.json,amza10,09/03,454.36,,,0,False
amza10_1_260309120435830_MIT_01971_mejorado.json,amza10_1_260309120435830_MIT_01971_mejorado.json,amza10,09/03,94.06,,,0,False
amza10_1_260309124722461_ACD_44535_mejorado.json,amza10_1_260309124722461_ACD_44535_mejorado.json,amza10,09/03,68.21,,,0,False
amza10_1_260309125516226_ACD_65983_mejorado.json,amza10_1_260309125516226_ACD_65983_mejorado.json,amza10,09/03,94.43,,,0,False
amza10_1_260309130008528_ACD_82667_mejorado.json,amza10_1_260309130008528_ACD_82667_mejorado.json,amza10,09/03,100.54,,,0,False
amza10_1_260309130526806_ACD_00643_mejorado.json,amza10_1_260309130526806_ACD_00643_mejorado.json,amza10,09/03,75.06,,,0,False
amza10_1_260309130712307_ACD_06343_mejorado.json,amza10_1_260309130712307_ACD_06343_mejorado.json,amza10,09/03,80.09,,,0,False
amza10_1_260309131319817_ACD_24565_mejorado.json,amza10_1_260309131319817_ACD_24565_mejorado.json,amza10,09/03,85.25,,,0,False
amza10_1_260309131912931_ACD_42701_mejorado.json,amza10_1_260309131912931_ACD_42701_mejorado.json,amza10,09/03,209.08,,,0,False
amza10_1_260309135527456_ACD_54411_mejorado.json,amza10_1_260309135527456_ACD_54411_mejorado.json,amza10,09/03,73.32,,,0,False
amza10_1_260309140456966_ACD_81887_mejorado.json,amza10_1_260309140456966_ACD_81887_mejorado.json,amza10,09/03,118.51,,,0,False
amza10_1_260309140833844_ACD_92437_mejorado.json,amza10_1_260309140833844_ACD_92437_mejorado.json,amza10,09/03,218.99,,,0,True
amza10_1_260309141743500_ACD_18223_mejorado.json,amza10_1_260309141743500_ACD_18223_mejorado.json,amza10,09/03,405.66,8gb,8gb,1,True
amza10_1_260309143348778_ACD_58183_mejorado.json,amza10_1_260309143348778_ACD_58183_mejorado.json,amza10,09/03,172.5,,,0,True
amza10_1_260309144605039_ACD_91063_mejorado.json,amza10_1_260309144605039_ACD_91063_mejorado.json,amza10,09/03,165.75,,,0,False
amza10_1_260309144932172_ACD_01537_mejorado.json,amza10_1_260309144932172_ACD_01537_mejorado.json,amza10,09/03,359.27,,,0,False
amza10_1_260309145715011_ACD_22943_mejorado.json,amza10_1_260309145715011_ACD_22943_mejorado.json,amza10,09/03,53.49,,,0,False
amza10_1_260309150021418_ACD_29727_mejorado.json,amza10_1_260309150021418_ACD_29727_mejorado.json,amza10,09/03,78.0,,,0,True
amza10_1_260309181523583_ACD_95947_mejorado.json,amza10_1_260309181523583_ACD_95947_mejorado.json,amza10,09/03,620.24,,,0,False
