archivo,agente,fecha,descuento_dia,duracion_seg,primer_plan
amza10_1_260114104132281_ACD_56261_transcripcion.json,MZA 10,14/01,80%,77,
amza10_1_260114105504419_ACD_95765_transcripcion.json,MZA 10,14/01,80%,80,
amza10_1_260114113207406_ACD_04095_transcripcion.json,MZA 10,14/01,80%,63,
amza10_1_260114113419927_ACD_11387_transcripcion.json,MZA 10,14/01,80%,73,
amza10_1_260114124944985_ACD_54951_transcripcion.json,MZA 10,14/01,80%,143,4gb
amza10_1_260114125353919_ACD_64431_transcripcion.json,MZA 10,14/01,80%,153,
amza10_1_260114132611052_ACD_63313_transcripcion.json,MZA 10,14/01,80%,272,
amza10_1_260114134139941_ACD_07759_transcripcion.json,MZA 10,14/01,80%,75,
amza10_1_260114140315713_ACD_70985_transcripcion.json,MZA 10,14/01,80%,82,
amza10_1_260115103249990_ACD_17399_transcripcion.json,MZA 10,15/01,80%,101,
amza10_1_260115111700397_ACD_54205_transcripcion.json,MZA 10,15/01,80%,88,
amza10_1_260115112256183_ACD_74349_transcripcion.json,MZA 10,15/01,80%,60,
amza10_1_260115113354341_ACD_11239_transcripcion.json,MZA 10,15/01,80%,293,
amza10_1_260115114837561_ACD_64753_transcripcion.json,MZA 10,15/01,80%,68,
amza10_1_260115120408920_ACD_11749_transcripcion.json,MZA 10,15/01,80%,123,
amza10_1_260115121741827_ACD_49231_transcripcion.json,MZA 10,15/01,80%,66,
amza10_1_260115122005363_ACD_56613_transcripcion.json,MZA 10,15/01,80%,111,8gb
amza10_1_260115124501544_ACD_80611_transcripcion.json,MZA 10,15/01,80%,94,
amza10_1_260115125545972_ACD_07403_transcripcion.json,MZA 10,15/01,80%,79,
amza10_1_260115130434697_ACD_36343_transcripcion.json,MZA 10,15/01,80%,72,
amza10_1_260115131253660_MIT_01998_transcripcion.json,MZA 10,15/01,80%,163,
amza10_1_260115131730362_ACD_75707_transcripcion.json,MZA 10,15/01,80%,63,
amza10_1_260115132247109_ACD_90665_transcripcion.json,MZA 10,15/01,80%,136,
amza10_1_260115132650376_ACD_01987_transcripcion.json,MZA 10,15/01,80%,124,
amza10_1_260115132957223_ACD_11141_transcripcion.json,MZA 10,15/01,80%,97,
amza10_1_260115133811335_ACD_37565_transcripcion.json,MZA 10,15/01,80%,67,
amza10_1_260115144605753_MIT_01989_transcripcion.json,MZA 10,15/01,80%,77,
amza10_1_260116103525710_ACD_20091_transcripcion.json,MZA 10,16/01,80%,317,4gb
amza10_1_260116104715283_ACD_67947_transcripcion.json,MZA 10,16/01,80%,215,
amza10_1_260116105156314_ACD_84381_transcripcion.json,MZA 10,16/01,80%,64,
amza10_1_260116110411925_ACD_26687_transcripcion.json,MZA 10,16/01,80%,73,
amza10_1_260116121959174_ACD_53865_transcripcion.json,MZA 10,16/01,80%,138,
amza10_1_260116124726066_ACD_97605_transcripcion.json,MZA 10,16/01,80%,79,
amza10_1_260116141102535_ACD_91115_transcripcion.json,MZA 10,16/01,80%,62,
amza10_1_260116141415955_ACD_04401_transcripcion.json,MZA 10,16/01,80%,71,
amza13_1_260113120009354_ACD_12541_transcripcion.json,MZA 13,13/01,80%,89,
amza13_1_260113121500733_ACD_54895_transcripcion.json,MZA 13,13/01,80%,175,
amza13_1_260113124556006_ACD_98689_transcripcion.json,MZA 13,13/01,80%,116,
amza13_1_260113132029698_ACD_01661_transcripcion.json,MZA 13,13/01,80%,140,
amza13_1_260113132953286_ACD_30859_transcripcion.json,MZA 13,13/01,80%,206,4gb
amza13_1_260113141354723_ACD_88353_transcripcion.json,MZA 13,13/01,80%,155,4gb
amza13_1_260114103809409_ACD_45931_transcripcion.json,MZA 13,14/01,80%,215,
amza13_1_260115114640023_ACD_58723_transcripcion.json,MZA 13,15/01,80%,165,
amza13_1_260115121114494_ACD_29881_transcripcion.json,MZA 13,15/01,80%,793,30gb
