archivo,agente,fecha,duracion_seg,primer_plan
amza10_1_260112105813064_ACD_11829_transcripcion.json,MZA 10,12/01,150,4gb
amza10_1_260112112314238_ACD_07481_transcripcion.json,MZA 10,12/01,88,
amza10_1_260112112840086_ACD_26699_transcripcion.json,MZA 10,12/01,123,
amza10_1_260112114049754_ACD_71329_transcripcion.json,MZA 10,12/01,131,
amza10_1_260112115127682_ACD_09577_transcripcion.json,MZA 10,12/01,92,8gb
amza10_1_260112120909164_ACD_59101_transcripcion.json,MZA 10,12/01,170,
amza10_1_260112125120917_ACD_33367_transcripcion.json,MZA 10,12/01,61,
amza10_1_260112130112049_ACD_65005_transcripcion.json,MZA 10,12/01,122,
amza10_1_260112131226331_ACD_99649_transcripcion.json,MZA 10,12/01,86,
amza10_1_260112132239063_ACD_31987_transcripcion.json,MZA 10,12/01,109,
amza10_1_260112133506702_ACD_74055_transcripcion.json,MZA 10,12/01,79,
amza10_1_260112133943696_ACD_89513_transcripcion.json,MZA 10,12/01,163,
amza10_1_260112140148341_ACD_61925_transcripcion.json,MZA 10,12/01,87,
amza10_1_260112141548818_ACD_13601_transcripcion.json,MZA 10,12/01,258,4gb
amza10_1_260112144017950_ACD_90903_transcripcion.json,MZA 10,12/01,79,
amza10_1_260112144239492_ACD_97063_transcripcion.json,MZA 10,12/01,100,
amza10_1_260112145707642_ACD_39033_transcripcion.json,MZA 10,12/01,117,
amza10_1_260112150057293_ACD_46891_transcripcion.json,MZA 10,12/01,64,
amza10_1_260114104132281_ACD_56261_transcripcion.json,MZA 10,14/01,77,
amza10_1_260114105504419_ACD_95765_transcripcion.json,MZA 10,14/01,80,
amza10_1_260114110231154_ACD_16535_transcripcion.json,MZA 10,14/01,1495,8gb
amza10_1_260114113207406_ACD_04095_transcripcion.json,MZA 10,14/01,63,
amza10_1_260114113419927_ACD_11387_transcripcion.json,MZA 10,14/01,73,
amza10_1_260114124944985_ACD_54951_transcripcion.json,MZA 10,14/01,143,4gb
amza10_1_260114125353919_ACD_64431_transcripcion.json,MZA 10,14/01,153,
amza10_1_260114134139941_ACD_07759_transcripcion.json,MZA 10,14/01,75,
amza10_1_260114140315713_ACD_70985_transcripcion.json,MZA 10,14/01,82,
amza10_1_260114142052229_ACD_23969_transcripcion.json,MZA 10,14/01,798,4gb
amza10_1_260115103249990_ACD_17399_transcripcion.json,MZA 10,15/01,101,
amza10_1_260115105611773_ACD_82303_transcripcion.json,MZA 10,15/01,671,
amza10_1_260115111338633_ACD_42427_transcripcion.json,MZA 10,15/01,176,
amza10_1_260115111700397_ACD_54205_transcripcion.json,MZA 10,15/01,88,
amza10_1_260115112256183_ACD_74349_transcripcion.json,MZA 10,15/01,60,
amza10_1_260115113354341_ACD_11239_transcripcion.json,MZA 10,15/01,293,
amza10_1_260115114837561_ACD_64753_transcripcion.json,MZA 10,15/01,68,
amza10_1_260115120408920_ACD_11749_transcripcion.json,MZA 10,15/01,123,
amza10_1_260115121741827_ACD_49231_transcripcion.json,MZA 10,15/01,66,
amza10_1_260115122005363_ACD_56613_transcripcion.json,MZA 10,15/01,111,8gb
amza10_1_260115124501544_ACD_80611_transcripcion.json,MZA 10,15/01,94,
amza10_1_260115125545972_ACD_07403_transcripcion.json,MZA 10,15/01,79,
amza10_1_260115130434697_ACD_36343_transcripcion.json,MZA 10,15/01,72,
amza10_1_260115131253660_MIT_01998_transcripcion.json,MZA 10,15/01,163,
amza10_1_260115131730362_ACD_75707_transcripcion.json,MZA 10,15/01,63,
amza10_1_260115132247109_ACD_90665_transcripcion.json,MZA 10,15/01,136,
amza10_1_260115132650376_ACD_01987_transcripcion.json,MZA 10,15/01,124,
amza10_1_260115132957223_ACD_11141_transcripcion.json,MZA 10,15/01,97,
amza10_1_260115133811335_ACD_37565_transcripcion.json,MZA 10,15/01,67,
amza10_1_260115143427410_ACD_34251_transcripcion.json,MZA 10,15/01,202,
amza10_1_260115144605753_MIT_01989_transcripcion.json,MZA 10,15/01,77,
amza10_1_260115151418878_MIT_01995_transcripcion.json,MZA 10,15/01,336,
amza10_1_260116104715283_ACD_67947_transcripcion.json,MZA 10,16/01,215,
amza10_1_260116105156314_ACD_84381_transcripcion.json,MZA 10,16/01,64,
amza10_1_260116110411925_ACD_26687_transcripcion.json,MZA 10,16/01,73,
amza10_1_260116112450880_ACD_04225_transcripcion.json,MZA 10,16/01,277,
amza10_1_260116121959174_ACD_53865_transcripcion.json,MZA 10,16/01,138,
amza10_1_260116124726066_ACD_97605_transcripcion.json,MZA 10,16/01,79,
amza10_1_260116125202625_ACD_13873_transcripcion.json,MZA 10,16/01,68,
