archivo,id_interaccion,agente,duracion_seg,cantidad_quejas,quejas_no_resueltas,primera_queja
amza10_1_260112115127682_ACD_09577_transcripcion.json,260112115127682_ACD_09577,MZA 10,92,1,1,"En total vas a tener van 10 y 6 gigas. Este plan se queda en un valor final de 13.250 pesos. ¿Cómo lo es vos ese plan? Lo veo caro. Es más, estoy por "
amza10_1_260112131226331_ACD_99649_transcripcion.json,260112131226331_ACD_99649,MZA 10,86,1,1,"No, me dijeron que puedo usarlo, pero lo pagan ellos, así que... Me cae el pelo, te digo. No sé qué empresa será. Claro. Bueno, dale, no hay problema."
amza10_1_260115114837561_ACD_64753_transcripcion.json,260115114837561_ACD_64753,MZA 10,68,1,1,"para buscarlo en sistema. Voy a poner Buenos Aires. ¿Qué localidad, perdón? Dom Celar. ¿Dom Celar se llama? A ver. ¿Y cuándo te dijeron? Igual acá no "
amza10_1_260115120408920_ACD_11749_transcripcion.json,260115120408920_ACD_11749,MZA 10,123,1,1,"Entonces, si me robaron cinco o seis meses, entonces ahora, por más que me regalen siempre es caro. Entiendo. Pero eso fue hace dos años y ahora es un"
amza10_1_260115124501544_ACD_80611_transcripcion.json,260115124501544_ACD_80611,MZA 10,94,1,1,"Sin señal, sin internet. Quería llamar, no tenía. Por ejemplo, me voy a misión y en misión no puedo hablar."
amza10_1_260115130434697_ACD_36343_transcripcion.json,260115130434697_ACD_36343,MZA 10,72,1,1,"No sé qué tiene que hacer en la denuncia. Es la primera vez que te llamo. No, también por eso, pero que me saquen de lista."
amza10_1_260116142323931_ACD_34389_transcripcion.json,260116142323931_ACD_34389,MZA 10,170,1,1,"Entonces, antes cuando tenía el internet en casa, me gustaba, pero ahora como no tengo internet, estoy usando más. Estoy usando más o menos más de die"
amza13_1_260112105616861_ACD_04409_transcripcion.json,260112105616861_ACD_04409,MZA 13,389,1,1,"Ay, bueno, yo hice reclamo, reclamo, reclamo. Y bueno, la cuestión es que ya... O sea, pagué todo lo que tenía pagado porque me vino no sé cuánto, lo "
amza13_1_260113125929007_ACD_34567_transcripcion.json,260113125929007_ACD_34567,MZA 13,62,1,1,"No. Ah, ese debe haber sido el problema, porque tenemos cobertura de toda la lavadora actualmente y estamos usando chips 4G+, no debería haber ningún "
amza13_1_260114105438411_ACD_94483_transcripcion.json,260114105438411_ACD_94483,MZA 13,775,1,1,"Y si yo me paso, ¿cuántos días me quedo sin celu? No te vas a quedar sin señal en ningún momento porque en 48 horas retiras el chip de la sucursal que"
amza13_1_260114131105218_ACD_19379_transcripcion.json,260114131105218_ACD_19379,MZA 13,839,2,2,"Bueno, esa ha sido nuestra conversación comercial. Ahora voy a pedir que te envíen el código de portabilidad y me lo tenés que pasar por ahí, por What"
amza13_1_260115140735516_ACD_38929_transcripcion.json,260115140735516_ACD_38929,MZA 13,89,1,1,"Y aparte la mala señal que tenía yo, o sea, mi experiencia personal fue que me quedé en claro por ese motivo. Y se los explico a la gente, pero sabes "
amza13_1_260116115410881_ACD_03079_transcripcion.json,260116115410881_ACD_03079,MZA 13,322,1,1,"Qué raro, qué raro. Estaba en claro y le dije que se cambiara lo que se ha explicado y me dijo que se había cambiado a más de 100 pero le salimos y ca"
amza14_1_260114130201212_ACD_89747_transcripcion.json,260114130201212_ACD_89747,MZA 14,100,1,1,"Sí, sí. pero mi chip era físico, ese lo retiré en la sucursal de Movistar acá en Viedma y no tuve problema, pero ellas que tienen iPhone con el chip v"
