agente,total_con_queja,resueltas,no_resueltas,pct_no_resueltas
MZA 42,12,0,12,100.0
MZA 43,11,0,11,100.0
MZA 4,10,0,10,100.0
MZA 32,9,0,9,100.0
MZA 39,8,0,8,100.0
MZA 44,9,1,8,88.9
MZA 9,8,0,8,100.0
MZA 10,9,2,7,77.8
MZA 22,7,0,7,100.0
MZA 23,7,0,7,100.0
MZA 33,8,1,7,87.5
MZA 13,6,0,6,100.0
MZA 35,6,0,6,100.0
MZA 3,6,0,6,100.0
MZA 40,6,0,6,100.0
MZA 6,6,0,6,100.0
MZA 1,6,1,5,83.3
MZA 20,9,4,5,55.6
MZA 24,5,0,5,100.0
MZA 30,5,0,5,100.0
MZA 5,6,1,5,83.3
MZA 74,5,0,5,100.0
MZA 19,4,0,4,100.0
MZA 313,4,0,4,100.0
MZA 31,4,0,4,100.0
MZA 41,4,0,4,100.0
MZA 73,4,0,4,100.0
MZA 26,3,0,3,100.0
MZA 29,3,0,3,100.0
MZA 2,3,0,3,100.0
MZA 72,3,0,3,100.0
MZA 14,2,0,2,100.0
MZA 27,2,0,2,100.0
MZA 34,2,0,2,100.0
MZA 36,2,0,2,100.0
MZA 8,2,0,2,100.0
MZA 15,1,0,1,100.0
MZA 16,1,0,1,100.0
MZA 18,1,0,1,100.0
nan,1,0,1,100.0
MZA 28,1,0,1,100.0
MZA 314,1,0,1,100.0
MZA 45,2,1,1,50.0
desconocido,1,0,1,100.0
