nombre,score_integral,score_operacional,score_calidad,total_llamadas,dias_trabajados,llamadas_por_dia_promedio,duracion_total_min,duracion_promedio_seg,talking_total_min,talking_promedio_seg,hold_total_min,acw_total_min,horas_trabajadas,promedio_min_hablados_por_hora,exitosas,no_exitosas,tasa_contacto_efectivo,ventas,agendados,no_quiere_contacto,conforme_actual,cortes_conversacion,mudas_cortadas,contestador,nro_equivocado,llamadas_largas_1min,llamadas_cortas_1min,con_conversacion_real_30s,tasa_conversacion_real,corte_cliente,corte_agente,total_evaluaciones,avg_saludo_presentacion,avg_identificacion_cliente,avg_deteccion_necesidades,avg_oferta_productos,avg_manejo_objeciones,avg_cierre,avg_despedida,avg_proactividad,avg_empatia,avg_resolucion_problemas,avg_puntaje_total,llamadas_excelentes_70plus,llamadas_buenas_40_70,llamadas_regulares_20_40,llamadas_malas_sub20,pct_excelentes,ofrecio_fibra,tasa_ofrecimiento_fibra,top_fortalezas,top_areas_mejora,agente_id
MZA 1,45.3,56.1,38.1,582,5,116.4,929.3,95.8,608.2,62.7,0.0,140.5,10,60.8,111,429,19.1,1,16,44,14,370,32,18,21,101,481,191,32.8,441,137,67,45.7,73.9,27.9,35.8,34.0,14.6,62.7,10.9,53.1,34.6,38.1,10,21,24,12,14.9,2,3.0,"Identificación del cliente, Despedida, Empatía","Detección de necesidades, Manejo de objeciones, Oferta de productos",mza1
MZA 10,40.8,63.8,25.4,741,5,148.2,1169.6,94.7,757.5,61.3,0.0,202.4,10,75.8,420,266,56.7,0,32,318,21,60,103,82,26,128,613,264,35.6,540,176,84,16.4,58.1,15.8,33.2,23.8,15.0,50.1,4.8,29.4,14.8,25.4,5,20,26,33,6.0,4,4.8,"Identificación del cliente, Despedida, Empatía","Detección de necesidades, Manejo de objeciones, Proactividad",mza10
MZA 12,38.4,55.4,27.0,779,5,155.8,1127.4,86.8,656.9,50.6,2.2,234.0,10,65.7,232,471,29.8,0,16,173,2,431,17,19,15,125,654,263,33.8,585,179,95,20.4,58.7,19.5,21.4,26.0,8.9,58.8,5.7,36.9,14.6,27.0,4,27,31,33,4.2,7,7.4,"Identificación del cliente, Despedida cordial, Despedida","Detección de necesidades, Manejo de objeciones, Oferta de productos",mza12
MZA 2,44.3,49.2,41.0,600,5,120.0,798.7,79.9,441.9,44.2,0.0,184.6,6,73.6,60,476,10.0,0,17,25,4,414,38,24,1,72,528,185,30.8,435,158,50,54.8,81.0,29.8,45.8,36.0,15.4,74.0,16.4,47.2,18.4,41.0,7,22,12,9,14.0,7,14.0,"Identificación del cliente, Saludo y presentación, Despedida","Detección de necesidades, Manejo de objeciones, Oferta de productos",mza2
MZA 3,30.0,31.6,29.0,229,3,76.3,199.0,52.2,102.2,26.8,0.0,22.9,4,25.6,7,220,3.1,0,0,4,0,219,0,0,0,22,207,58,25.3,174,55,18,33.9,72.2,28.3,36.1,18.9,0.0,66.7,11.1,27.8,0.0,29.0,1,4,8,5,5.6,3,16.7,"Identificación del cliente, Despedida, Despedida cordial","Detección de necesidades, Manejo de objeciones, Oferta de productos",mza3
MZA 4,55.4,58.7,53.2,834,5,166.8,1069.4,76.9,718.2,51.7,0.0,135.2,10,71.8,408,402,48.9,6,226,101,20,250,93,36,10,96,738,250,30.0,569,262,55,56.0,75.5,28.0,50.0,38.0,10.7,76.7,14.2,51.8,20.5,53.2,10,24,13,8,18.2,3,5.5,"Identificación del cliente, Despedida, Buen saludo y presentación.","Detección de necesidades, Cierre, Manejo de objeciones",mza4
MZA 5,43.3,52.8,36.9,527,4,131.8,762.2,86.8,432.7,49.3,0.0,155.7,10,43.3,150,369,28.5,2,48,60,2,316,18,22,12,58,469,127,24.1,412,115,38,24.2,58.2,28.2,51.3,31.6,28.7,64.7,15.5,44.7,22.1,36.9,5,10,15,8,13.2,4,10.5,"Identificación del cliente, Despedida, Manejo de objeciones.","Detección de necesidades, Manejo de objeciones, Proactividad",mza5
MZA 6,42.0,44.9,40.0,77,3,25.7,139.5,108.7,105.5,82.2,0.0,11.4,6,17.6,15,57,19.5,0,0,0,9,4,45,5,1,18,59,28,36.4,60,16,14,50.0,78.6,32.1,57.1,28.6,21.4,71.4,21.4,35.7,10.7,40.0,4,2,6,2,28.6,0,0.0,"Identificación del cliente, Despedida, Manejo de objeciones","Detección de necesidades, Manejo de objeciones, Oferta de productos",mza6
MZA 7,38.8,55.2,27.8,587,5,117.4,887.0,90.7,582.6,59.6,0.7,143.9,10,58.3,97,455,16.5,0,20,12,11,301,106,36,7,87,500,205,34.9,423,148,59,25.9,32.4,10.2,23.4,19.7,9.2,44.4,5.4,37.6,24.9,27.8,6,17,12,24,10.2,2,3.4,"Empatía, Despedida, Resolución de problemas","Detección de necesidades, Proactividad, Identificación del cliente",mza7
MZA 8,37.3,53.0,26.9,769,5,153.8,1168.4,91.2,687.2,53.6,0.8,240.1,10,68.7,138,547,17.9,0,55,27,14,99,408,36,20,100,669,231,30.0,604,159,66,30.5,51.8,14.7,30.5,22.0,11.4,53.5,5.5,32.3,19.1,26.9,4,16,23,23,6.1,4,6.1,"Identificación del cliente, Saludo y presentación, Despedida","Detección de necesidades, Oferta de productos, Manejo de objeciones",mza8
MZA 9,41.2,55.8,31.4,738,5,147.6,847.7,68.9,505.2,41.1,0.0,120.6,10,50.5,371,358,50.3,0,26,117,184,92,204,62,16,91,647,203,27.5,527,205,65,28.3,73.4,27.1,35.8,30.3,11.8,55.2,8.3,35.8,14.0,31.4,6,20,18,21,9.2,3,4.6,"Identificación del cliente, Despedida, Empatía","Detección de necesidades, Proactividad, Oferta de productos",mza9
